Datetime,Load_Forecast,Load_Forecast_Ignore_Flag,Solar_Forecast,Solar_Forecast_Ignore_Flag,Wind_Forecast,Wind_Forecast_Ignore_Flag,Load_Actual,Load_Actual_Ignore_Flag,Solar_Actual,Solar_Actual_Ignore_Flag,Wind_Actual,Wind_Actual_Ignore_Flag
1/1/2010 1:00,100,FALSE,50,FALSE,20,FALSE,100.5224428,FALSE,50.57512235,FALSE,20.26939683,FALSE
1/2/2010 2:00,101,FALSE,51,FALSE,21,FALSE,101.3904558,FALSE,51.9369332,FALSE,21.08458321,FALSE
1/3/2010 3:00,102,FALSE,52,FALSE,22,FALSE,102.2345856,FALSE,52.00939506,FALSE,22.95127508,FALSE
1/4/2010 4:00,103,FALSE,53,FALSE,23,FALSE,103.1366746,FALSE,53.20625524,FALSE,23.83054675,FALSE
1/5/2010 5:00,104,FALSE,54,FALSE,24,FALSE,104.0676923,FALSE,54.27617004,FALSE,24.68171321,FALSE
1/6/2010 6:00,105,FALSE,55,FALSE,25,FALSE,105.8436139,FALSE,55.8270615,FALSE,25.60092623,FALSE
1/7/2010 7:00,106,FALSE,56,FALSE,26,FALSE,106.1102731,FALSE,56.67239615,FALSE,26.39999192,FALSE
1/8/2010 8:00,107,TRUE,57,TRUE,27,TRUE,107.0213393,TRUE,57.98828088,TRUE,27.54084203,TRUE
1/9/2010 9:00,108,FALSE,58,FALSE,28,FALSE,108.6674845,FALSE,58.02878111,FALSE,28.01830045,FALSE
1/10/2010 10:00,109,FALSE,59,FALSE,29,FALSE,109.8399199,FALSE,59.22582125,FALSE,29.34172432,FALSE
1/11/2010 11:00,110,FALSE,60,FALSE,30,FALSE,110.9267315,FALSE,60.81796515,FALSE,30.86654069,FALSE
1/12/2010 12:00,111,FALSE,61,FALSE,31,FALSE,111.1439992,FALSE,61.59293661,FALSE,31.18729141,FALSE
1/13/2010 13:00,112,FALSE,62,FALSE,32,FALSE,112.2426503,FALSE,62.63560386,FALSE,32.40324488,FALSE
1/14/2010 14:00,113,FALSE,63,FALSE,33,FALSE,113.8727216,FALSE,63.0102623,FALSE,33.76026512,FALSE
1/15/2010 15:00,114,FALSE,64,FALSE,34,FALSE,114.2217512,FALSE,64.70517547,FALSE,34.18483803,FALSE
1/16/2010 16:00,115,FALSE,65,FALSE,35,FALSE,115.1629938,FALSE,65.38832331,FALSE,35.92977227,FALSE
1/17/2010 17:00,116,FALSE,66,FALSE,36,FALSE,116.9122656,FALSE,66.96395495,FALSE,36.32754291,FALSE
1/18/2010 18:00,117,FALSE,67,FALSE,37,FALSE,117.5795696,FALSE,67.03816748,FALSE,37.28279851,FALSE
1/19/2010 19:00,118,TRUE,68,TRUE,38,FALSE,118.5864919,FALSE,68.71767705,TRUE,38.34230773,FALSE
1/20/2010 20:00,119,FALSE,69,FALSE,39,FALSE,119.5113241,TRUE,69.21608087,FALSE,39.92376282,FALSE
1/21/2010 21:00,120,FALSE,70,TRUE,40,FALSE,120.3579108,FALSE,70.60779852,TRUE,40.26124025,FALSE
